,INSCRICAO,SEXO,CIDADE,ESTADO,CARGO,CÓDIGO,LOCAL DE PROVA,ANO
6260,42101809472-1,M,Campina Grande,PB,1-Mestrado/Doutorado,1,Campina Grande - PB,2017
6261,42101829670-7,M,Rio de Janeiro,RJ,1-Mestrado/Doutorado,1,Rio de Janeiro - RJ,2017
6262,42101810452-3,M,Anápolis,GO,1-Mestrado/Doutorado,1,Goiânia - GO,2017
6263,42102835259-5,M,Salvador,BA,2-Autoavaliação,2,Salvador - BA,2017
6264,42101810407-2,M,Palmitos,SC,1-Mestrado/Doutorado,1,Chapecó - SC,2017
6265,42101824671-5,M,São Sebastião do Paraíso,MG,1-Mestrado/Doutorado,1,Ribeirão Preto - SP,2017
6266,42101834580-1,M,Florianópolis,SC,1-Mestrado/Doutorado,1,Florianópolis - SC,2017
6267,42101833520-6,M,Brusque,SC,1-Mestrado/Doutorado,1,Florianópolis - SC,2017
6268,42101828559-7,M,Curitiba,PR,1-Mestrado/Doutorado,1,Curitiba - PR,2017
6269,42101835047-9,M,Frutal,MG,1-Mestrado/Doutorado,1,São José do Rio Preto - SP,2017
6270,42101810191-4,M,Vila Velha,ES,1-Mestrado/Doutorado,1,Vitória - ES,2017
6271,42101828775-8,M,Teresina,PI,1-Mestrado/Doutorado,1,Teresina - PI,2017
6272,42101811753-1,M,Caxias,MA,1-Mestrado/Doutorado,1,São Luiz - MA,2017
6273,42101811828-4,M,Florianópolis,SC,1-Mestrado/Doutorado,1,Florianópolis - SC,2017
6274,42101828580-1,M,Lavras,MG,1-Mestrado/Doutorado,1,Lavras - MG,2017
6275,42101811269-3,M,São Paulo,SP,1-Mestrado/Doutorado,1,São Paulo - SP,2017
6276,42101809807-3,M,Goiânia,GO,1-Mestrado/Doutorado,1,Goiânia - GO,2017
6277,42101834956-6,M,Teresina,PI,1-Mestrado/Doutorado,1,Teresina - PI,2017
6278,42101820709-0,M,Juiz de Fora,MG,1-Mestrado/Doutorado,1,Juiz de Fora - MG,2017
6279,42101834853-9,M,Arequipa,PE,1-Mestrado/Doutorado,1,Arequipa - PERU,2017
6280,42101834727-7,F,Marília,SP,1-Mestrado/Doutorado,1,Bauru - SP,2017
6281,42101834502-6,M,Teresina,PI,1-Mestrado/Doutorado,1,Teresina - PI,2017
